Time (s),Section,Text,Anger Score,RMS,Brightness,Motion
43.0,,,0.9000,0.014674,69.355350,0.183179
43.1,,,0.9000,0.015794,68.251503,0.608897
43.2,,,0.9000,0.016913,67.195471,1.034615
43.3,,,0.9000,0.018033,66.133649,1.460333
43.4,,,0.9000,0.019152,112.554219,1.886051
43.5,,,0.9000,0.020272,103.539511,2.311769
43.6,,,0.9000,0.021391,98.517579,2.737487
43.7,,,0.9000,0.022511,118.223181,3.163205
43.8,,,0.9000,0.023630,138.931552,3.588923
43.9,,,0.9000,0.024749,49.651050,4.014642
44.0,,,0.9000,0.025869,50.231799,4.440360
44.1,,,0.9000,0.025912,49.432554,4.001587
44.2,,,0.9000,0.025954,49.640860,3.562814
44.3,,,0.9000,0.025997,48.914093,3.124041
44.4,,,0.9000,0.026040,165.827263,2.685268
44.5,,,0.9000,0.026083,164.522462,2.246495
44.6,,,0.9000,0.026126,211.373695,1.807722
44.7,,,0.9000,0.026169,107.903108,1.368950
44.8,,,0.9000,0.026211,33.177767,0.930177
44.9,,,0.9000,0.026254,173.775136,0.491404
45.0,,,0.9000,0.026297,173.381641,0.052631
45.1,,,0.9000,0.026729,173.055933,0.049683
45.2,,,0.9000,0.027162,171.869076,0.046735
45.3,,,0.9000,0.027594,172.892324,0.043787
45.4,,,0.9000,0.028026,176.655005,0.040838
45.5,,,0.9000,0.028459,176.289248,0.037890
45.6,,,0.9000,0.028891,52.876816,0.034942
45.7,,,0.9000,0.029323,56.535449,0.031994
45.8,,,0.9000,0.029756,56.497583,0.029046
45.9,,,0.9000,0.030188,86.711252,0.026098
46.0,,,0.9000,0.030620,62.086365,0.023150
46.1,,,0.9000,0.031050,85.786640,0.024284
46.2,,,0.9000,0.031479,85.572096,0.025418
46.3,,,0.9000,0.031909,45.499946,0.026552
46.4,,,0.9000,0.032338,46.795493,0.027687
46.5,,,0.9000,0.032768,46.749118,0.028821
46.6,,,0.9000,0.033197,45.618370,0.029955
46.7,,,0.9000,0.033627,43.759662,0.031089
46.8,,,0.9000,0.034056,42.252079,0.032224
46.9,,,0.9000,0.034486,40.776057,0.033358
47.0,,,0.9000,0.034915,117.818846,0.034492
47.1,,,0.9000,0.034279,116.710688,0.033219
47.2,,,0.9000,0.033642,100.117989,0.031946
47.3,,,0.9000,0.033006,42.995265,0.030674
47.4,,,0.9000,0.032369,47.198510,0.029401
47.5,,,0.9000,0.031733,69.474495,0.028128
47.6,,,0.9000,0.031096,74.211101,0.026855
47.7,,,0.9000,0.030460,108.237076,0.025582
47.8,,,0.9000,0.029823,58.138580,0.024309
47.9,,,0.9000,0.029187,56.352976,0.023036
48.0,,,0.9000,0.028550,57.477350,0.021764
48.1,,,0.9000,0.028489,60.448254,0.025143
48.2,,,0.9000,0.028427,60.884105,0.028523
48.3,,,0.9000,0.028366,61.084499,0.031902
48.4,,,0.9000,0.028304,92.764373,0.035282
48.5,,,0.9000,0.028243,92.685463,0.038662
48.6,,,0.9000,0.028182,92.688788,0.042041
48.7,,,0.9000,0.028120,94.158670,0.045421
48.8,,,0.9000,0.028059,80.179508,0.048801
48.9,,,0.9000,0.027997,87.673333,0.052180
49.0,,,0.9000,0.027936,94.118395,0.055560
49.1,,,0.9000,0.028092,96.494709,0.053308
49.2,,,0.9000,0.028248,107.001240,0.051056
49.3,,,0.9000,0.028404,84.033770,0.048804
49.4,,,0.9000,0.028560,106.220225,0.046552
49.5,,,0.9000,0.028716,92.201696,0.044300
49.6,,,0.9000,0.028872,103.095845,0.042048
49.7,,,0.9000,0.029028,84.941336,0.039796
49.8,,,0.9000,0.029184,112.295372,0.037544
49.9,,,0.9000,0.029341,103.255483,0.035292
50.0,,,0.9000,0.029497,75.388170,0.033040
50.1,,,0.9000,0.031027,104.801578,0.038337
50.2,,,0.9000,0.032557,97.768267,0.043634
50.3,,,0.9000,0.034087,62.645674,0.048932
50.4,,,0.9000,0.035618,62.502417,0.054229
50.5,,,0.9000,0.037148,62.221671,0.059526
50.6,,,0.9000,0.038678,62.233037,0.064823
50.7,,,0.9000,0.040208,62.217949,0.070121
50.8,,,0.9000,0.041738,62.217975,0.075418
50.9,,,0.9000,0.043269,85.060712,0.080715
51.0,,,0.9000,0.044799,84.951783,0.086012
51.1,,,0.9000,0.042554,83.613627,0.080693
51.2,,,0.9000,0.040309,40.022558,0.075374
51.3,,,0.9000,0.038064,41.432296,0.070055
51.4,,,0.9000,0.035819,42.869757,0.064736
51.5,,,0.9000,0.033575,55.071628,0.059417
51.6,,,0.9000,0.031330,68.315226,0.054098
51.7,,,0.9000,0.029085,79.444836,0.048779
51.8,,,0.9000,0.026840,122.432315,0.043460
51.9,,,0.9000,0.024595,173.592212,0.038141
52.0,,,0.9000,0.022350,102.175521,0.032822
52.1,,,0.9000,0.024497,57.850522,0.044116
52.2,,,0.9000,0.026645,63.433006,0.055410
52.3,,,0.9000,0.028792,73.018212,0.066704
52.4,,,0.9000,0.030939,96.695856,0.077997
52.5,,,0.9000,0.033086,60.153401,0.089291
52.6,,,0.9000,0.035234,100.621845,0.100585
52.7,,,0.9000,0.037381,44.003169,0.111879
52.8,,,0.9000,0.039528,75.443295,0.123173
52.9,,,0.9000,0.041676,61.037741,0.134466
53.0,,,0.9000,0.043823,97.356209,0.145760
53.1,,,0.9000,0.045884,32.292802,0.135571
