Time (s),RMS
871.0,0.07637733
872.0,0.042464204
873.0,0.037177183
874.0,0.051154695
875.0,0.07794138
876.0,0.06420008
877.0,0.052860793
878.0,0.10571334
879.0,0.07134112
880.0,0.056499954
881.0,0.099484324
882.0,0.081228234
883.0,0.10018458
884.0,0.08079944
885.0,0.10495773
886.0,0.13811466
887.0,0.12651134
888.0,0.12141029
889.0,0.0145262405
890.0,0.010896155
891.0,0.026506102
892.0,0.01225038
893.0,0.008680571
894.0,0.010395432
895.0,0.019256206
896.0,0.039025184
897.0,0.019456381
898.0,0.026848113
899.0,0.03486868
900.0,0.04828994
901.0,0.055502515
902.0,0.055678263
903.0,0.04877498
904.0,0.050537135
905.0,0.045571834
906.0,0.041343313
907.0,0.037732996
908.0,0.030007886
909.0,0.0247468
910.0,0.02191363
911.0,0.069345765
912.0,0.044138946
913.0,0.05224563
914.0,0.02680651
915.0,0.04611996
916.0,0.051258415
917.0,0.066148765
918.0,0.019002184
919.0,0.064778015
920.0,0.035810865
921.0,0.05430527
922.0,0.05139512
923.0,0.009771404
924.0,0.07085896
925.0,0.030451624
926.0,0.00586871
927.0,0.0054360316
928.0,0.012950107
929.0,0.015265523
930.0,0.023303725
931.0,0.07466488
932.0,0.03032009
933.0,0.027926547
934.0,0.088543564
935.0,0.08985923
936.0,0.068431355
937.0,0.06953817
938.0,0.051633462
939.0,0.06777191
940.0,0.09471521
941.0,0.07672177
942.0,0.05864769
943.0,0.048890516
944.0,0.048335236
945.0,0.048496116
946.0,0.03891859
947.0,0.03696622
948.0,0.03322389
949.0,0.04328059
950.0,0.041293304
951.0,0.06567514
952.0,0.121703714
953.0,0.10700908
954.0,0.06635877
955.0,0.054119997
956.0,0.11494907
957.0,0.081518404
958.0,0.056677736
959.0,0.09701675
960.0,0.058034305
961.0,0.100500226
962.0,0.039834343
963.0,0.09456418
964.0,0.089635365
965.0,0.104402654
966.0,0.095211275
967.0,0.040784508
968.0,0.07630898
969.0,0.06508029
970.0,0.075204276
971.0,0.0718256
972.0,0.1011607
973.0,0.054864522
974.0,0.03528078
975.0,0.049568802
976.0,0.018017396
977.0,0.051121656
978.0,0.045444395
979.0,0.008229402
980.0,0.02509915
981.0,0.019092508
982.0,0.034864828
983.0,0.031783022
984.0,0.07221301
985.0,0.08307459
986.0,0.006306736
987.0,0.08956802
988.0,0.0067137536
989.0,0.0006224479
990.0,2.7693717e-05
991.0,0.006048973
992.0,0.015851384
993.0,0.07275082
994.0,0.047168337
995.0,0.029114436
996.0,0.030161409
997.0,0.023344683
998.0,0.011660409
999.0,0.041222688
1000.0,0.045928724
1001.0,0.024958953
1002.0,0.013999177
1003.0,0.017900523
1004.0,0.019580558
1005.0,0.01632244
1006.0,0.046611667
1007.0,0.025881108
1008.0,0.04166277
1009.0,0.008826977
1010.0,0.016594807
1011.0,0.013417214
1012.0,0.03575197
1013.0,0.03379991
1014.0,0.019500313
1015.0,0.017892236
1016.0,0.013809956
1017.0,0.01653249
1018.0,0.027042685
1019.0,0.037336234
1020.0,0.03186331
1021.0,0.0701941
1022.0,0.021054335
1023.0,0.029425377
1024.0,0.033933334
1025.0,0.050218668
1026.0,0.04514809
1027.0,0.044150755
1028.0,0.04371868
1029.0,0.037603192
1030.0,0.032792255
1031.0,0.047661025
1032.0,0.04547885
1033.0,0.036976174
1034.0,0.031695835
1035.0,0.030946905
1036.0,0.027072374
1037.0,0.026651712
1038.0,0.046342436
1039.0,0.03633703
1040.0,0.030254934
1041.0,0.019347914
1042.0,0.024549358
1043.0,0.04586702
1044.0,0.04851027
1045.0,0.04454472
1046.0,0.03621361
1047.0,0.044363324
1048.0,0.036795426
1049.0,0.023486955
1050.0,0.027537892
1051.0,0.037855864
1052.0,0.021993695
